longi;lat;address;type;classOf
-46473857;-23494477;JOSE GOES NOGUEIRA,R,70;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46582361;-23581804;CENTENARIO DE V PRUDENTE,PCA,108;AMBULATORIO DE ESPECIALIDADES;AMBULATORIOS ESPECIALIZADOS
-46755767;-23405738;ANTONIO MAIA,R,827;AMBULATORIO DE SAUDE MENTAL;SAUDE MENTAL
-46586877;-23515417;GUILHERME COTCHING,AV,1600;AMBULATORIO DE SAUDE MENTAL;SAUDE MENTAL
-46623145;-23596913;JOAO BATISTUSSI,R,55;AMBULATORIOS ESPECIALIZADOS;AMBULATORIOS ESPECIALIZADOS
-46388369;-23491742;MARECHAL TITO,AV,6035;APOIO DIAGNOSTICO;APOIO DIAGNOSTICO
-46490063;-23522787;JOSE SILVA ALCANTARA FILHO,R,1031;APOIO DIAGNOSTICO;APOIO DIAGNOSTICO
-46743017;-23659403;LUIS ANTONIO VERNEY,R,98;APOIO DIAGNOSTICO;APOIO DIAGNOSTICO
-46600559;-23492830;ORLANDO RIBEIRO DANTAS,R,154;APOIO DIAGNOSTICO;APOIO DIAGNOSTICO
-46442459;-23533676;PAULINO SERQUEIRA,R,01;APOIO DIAGNOSTICO;APOIO DIAGNOSTICO
-46579509;-23553466;SERRA DE JAIRE,R,1480;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46469079;-23522008;TANTAS PALAVRAS,R,59;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46500964;-23542114;ALVES MALDONADO,R,128;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46643606;-23664546;CIDADE DE SANTOS,R,46;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46758672;-23488618;MARCELA ALVES DE CASSIA,R,175;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46753702;-23647799;TEREZA MAIA PINTO;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46645012;-23652993;FRANCISCO DE PAULA QUINTANILHA RIBEIRO,AV,860;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46651352;-23524329;RIBEIRO DE ALMEIDA,R,14;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46520533;-23504946;CANGAIBA,AV,3722;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46773393;-23673297;SANTANA,COM,AV,774;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46404006;-23579958;CADERNO DE VIAGEM,R,55;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46659460;-23695249;CORREGO AZUL,R,433;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46464835;-23554316;FRANCISCO MUNHOZ F,DR,AV,379;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46734104;-23441453;TAIPAS,ESTRADA DE (ESQ. R PAULO ARENTINO)1648;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46633950;-23523893;R. PRATES, 1101;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46661825;-23647281;SANTA CATARINA,AV,1523;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46713901;-23445946;JOAO AMADO COUTINHO,R,400;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46472507;-23499140;RODRIGO DE BRUM,AL,1989;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46417847;-23564540;FRANCISCO CARDOSO JR,R,10;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46608202;-23587114;XAVIER DE ALMEIDA,R,210;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46637560;-23651657;ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46430727;-23542382;OSVALDO DE OLIVEIRA,PROF,AV,610;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46559831;-23588139;PLANALTO DA CONQUISTA,R,80;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46493347;-23501684;OLAVO EGIDIO SOUZA ARANHA,AV,630;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46509202;-23621178;BATISTA FERGUSIO,R,1016;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46589866;-23571284;VITOANTONIO DEL VECCHIO,R,151;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46608261;-23587215;XAVIER DE ALMEIDA,R,210;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46738671;-23681333;DINAR,R,51;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46769257;-23685234;GUAVIRITUBA,ESTR,49;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46576336;-23485505;FRANCISCO PEIXOTO BIZERRA,R,400;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46491506;-23554330;OSVALDO VALLE CORDEIRO,AV,245;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46712124;-23771107;PLEIADES,DAS,R,S/N;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46408536;-23511853;CRESCENTE,R,97;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46789576;-23730480;PAIVA MANSO,DE,BR,R,200;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46686264;-23741988;JOAO PAULO BARRETO,R,131;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46452307;-23608385;SOMOS TODOS IGUAIS,R, 330;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46429597;-23603342;BENTO GUELFI, AV,1100;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46379916;-23494881;JOSE DA CRUZ CAMARGO,R,174;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46685406;-23455938;REMULO NALDI,R,1;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46421214;-23529885;MANOEL TEODORO XAVIER,R,138;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46515914;-23591570;PEDRO DE CASTRO VELHO,R,523;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46419176;-23478599;KUMAKI AOKI,AV,785;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46704938;-23743565;ROQUE DO PARAGUASSU,R,190;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46748695;-23445919;PEDRO RAVARA,R,11A;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46509798;-23559758;COSTEIRA,R,572;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46595741;-23448567;ADALTO BEZERRA DELGADO,R,240;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46673017;-23460263;JOSE DA COSTA GAVIAO,R,150;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46643925;-23678053;SANTO AFONSO,AV,419;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46695932;-23771089;JUVENAL HUDSON FERREIRA,DR,R,13;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46383921;-23510992;ITAJUIBE,R,1910;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46479070;-23531063;NICOLO TARTAGLIA,R,45;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46702491;-23462876;ENCRUZILHADA DO SUL,R, 220;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46731959;-23586132;JOAO GUERRA,R,247;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46654242;-23463714;PERI RONCHETTI,AV,914;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46766027;-23630816;AMADEU DA SILVA SAMELO,R,423;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46391501;-23487081;RIO MANOEL ALVES,R,57;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46783270;-23592156;ANGELO APARECIDO DOS SANTOS DIAS,R,331;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46743017;-23659403;LUIS ANTONIO VERNEY,R,98;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46442705;-23631626;MIGUEL FERREIRA DE MELO,AV,497;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46491812;-23518051;BRENO ACIOLI,R,440;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46658855;-23673525;LUIS VIVES,R,85;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46516773;-23499804;AUGUSTO CORREIA LEITE,R,538;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46727089;-23484117;MENOTTI LAUDIZIO,AV,100;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46398396;-23565202;UTARO KANAI,R,286;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46641340;-23474762;VALORBE,R,80;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46438874;-23540016;SILVIO BARBINI,R,40;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46486454;-23544372;FRANCISCO DE TOLEDO,PE,AV,545;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46655108;-23486165;OSCAR DE MOURA LACERDA,ENG,R,231;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46505721;-23517253;JAMES TORRES,AV,600;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46550415;-23526151;GERMANO,FREI,R,50;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46494531;-23598225;ENGENHO NOVO,AV,120;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46435159;-23526871;IBIAJARA,R,804;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46718678;-23617574;SILVEIRA SAMPAIO,R,660;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46726602;-23829632;MARIO TRAPE,R,100;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46620487;-23525505;OLARIAS,DAS,R,503;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46794837;-23601401;VATICANO,AV,69;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46756881;-23408918;JOAO GONCALVES DE LIMA,VIG,PCA,239;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46787208;-23430851;ANHANGUERA,ROD KM 24,5/PIERRE RENOIR,100;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46609987;-23648697;FRANCOIS BUNEL,R,194;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46647972;-23696777;ANIQUIS,DOS,R,3;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46791828;-23675312;ERNESTO SOARES FILHO,R,301;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46748702;-23679004;DANIEL KLEIN,R,211;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46737725;-23488279;ANASTACIO,DO,AV (ESQ. R WILLIS ROBERTO BANKS) 2421;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46783715;-23698944;PORTA DO PRADO,R,18;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46431785;-23486749;SILVEIRA PIRES,R,265;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46755453;-23656634;MANUEL BORDALO PINHEIRO,R,100;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46457302;-23630870;BANDEIRA DO ARACAMBI,S/N;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46593417;-23613340;ESTRADA DAS LAGRIMAS,1404;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46639208;-23598259;PEDRO DE TOLEDO,R,309;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46459987;-23556400;CACHOEIRA DA ILHA,R,71;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46492813;-23611267;JOAO LOPES DE LIMA,R,1151;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46446369;-23509507;MARIA SANTANA,AV,101;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46700788;-23523667;CATAO,R,380;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46565830;-23531961;SIRIA,R,95;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46440472;-23496403;ANTONIO GAMA DE CERQUEIRA,PROF,R,647;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46515396;-23572685;JOAO DE OLIVEIRA MELLO,CEL,R,440;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46670111;-23504804;MANDAQUI,AV,197;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46554629;-23604588;SAO JANUARIO,DE,CDE,PCA,91;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46448219;-23549185;IPOPOCA,R,61;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46524187;-23552513;JACI BARBOSA,DR,R,280;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46642993;-23670825;ROLANDO CURTIS,R,701;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46527859;-23579027;TERESINHA,R,123;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46605055;-23515717;JOAO VENTURA BATISTA,R,615;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46651288;-23677002;CATARINA GABRIELLI,R,150;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46584769;-23491895;EURICO SODRE,R,353;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46649178;-23688526;RAINHA DAS MISSOES,R,515;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46611940;-23633637;GIOVANNI DI BALBUCCIO,R,250;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46744260;-23542420;SALATIEL DE CAMPOS,R,222;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46558620;-23573518;JOAO FIALHO DE CARVALHO,R,35;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46684871;-23494362;FRANCISCO LOTUFO,R,24;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46713005;-23487266;MANUEL D'ELBOUX,D,R,76;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46760927;-23501676;CAMILO CASTELO BRANCO,R,10;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46734262;-23597378;ABRAHAO CALIL REZEK,R,91;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46503551;-23490014;BELEM SANTOS,R,8;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46444301;-23530664;AUGUSTO CARLOS BAUMANN,R,1074;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46602830;-23468318;PAULO CESAR,R,60;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46531425;-23513062;MERCEDES LOPES,R,989;ASSISTENCIA MEDICA AMBULATORIAL;URGENCIA/EMERGENCIA
-46598099;-23551437;TAQUARI, R., 549;ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS;OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-46622368;-23510889;ZAKI NARCHI, AV., 357;ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS;OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-46688077;-23688341;MIGUEL YUNES, AV.,491;ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS;OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-46645292;-23599277;LOEFGREEN,R,2109;ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS;OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-46532173;-23603574;JOSE DAS ESPINHARAS,S,R,400;CASA DO PARTO;AMBULATORIOS ESPECIALIZADOS
-46700505;-23773889;CARUANENSE,R,186;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46657993;-23467198;SETE DE DEZEMBRO,R,72;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46660855;-23693887;JOAO DO LAGO,R, 228;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46479007;-23567088;AQUINO FONSECA,R,117;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46636324;-23646358;ONZE DE FEVEREIRO,R,318;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46698479;-23495579;MANUEL MADRUGA,R,129;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46415442;-23544386;EVALDO CALABREZ, R,205;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46600711;-23607027;SAVA,R, 44;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46403865;-23497983;ILHA DE S+O FRANCISCO,R,155;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46434016;-23554231;BERNARDINO PRUDENTE,R,86;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46720089;-23531256;BERGSON,R, 52;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46746442;-23701368;ALTO DA PADILHA,R,3972;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46597310;-23550412;TAQUARI,R,549;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46730615;-23824279;ALESSANDRO BURI,R,15;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46528075;-23538952;HERCIILIA,R,452;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46751136;-23400609;ANTONIO DE PADUA DIAS,R,602;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46477029;-23610915;ERNESTO MANOGRASSO,R,133;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46626335;-23496552;MOREIRA DE BARROS,CONS,R,120;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46703567;-23657106;IGUATINGA,R,134;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46470341;-23506412;MIGUEL DE OLIVEIRA,R,195;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46505087;-23618810;DAVID DE MELO LOPES,R,86;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46627859;-23550525;FREDERICO ALVARENGA,R,259;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46580156;-23588924;ZELINA,AV,322;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46586069;-23507339;ALBERTO BYINGTON,AV,526;CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL;SAUDE MENTAL
-46536488;-23554624;BOICININGA,R,31;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
-46416369;-23544807;SERRA DO MAR,R,56;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
-46691868;-23474897;AUGUSTO DO AMARAL,DR,R,222;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
-46718646;-23581818;OSCAR PINHEIRO COELHO,R, 287;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
-46692123;-23719216;MARIA APARECIDA ANACLETO,R., 448;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
-46654849;-23486085;FERREIRA DE ALMEIDA,R,22;CENTRO DE ATENCAO PSICOSSOCIAL ADULTO;SAUDE MENTAL
